Filename,var1,var2,var3,Label,seg_Start,seg_End,t,t_ms,f0,F1,F2,F3,B1,B2,B3,H1u,H2u,H4u,H2Ku,H5Ku,A1u,A2u,A3u,H1H2u,H2H4u,H1A1u,H1A2u,H1A3u,H2KH5Ku,H1c,H2c,H4c,A1c,A2c,A3c,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,CPP,HNR05,HNR15,HNR25,HNR35
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,1,0.585504,247.514,441.815,2605.711,3508.865,585.302,320.188,224.054,27.528,6.994,3.107,3.378,9.538,25.134,10.032,17.827,20.533,3.887,2.394,17.496,9.701,-6.160,26.868,6.959,11.741,24.574,17.753,20.569,19.909,-4.782,2.294,9.115,6.299,14.616,17.442,-139.624,-154.945,-155.067
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,2,0.586504,247.966,440.470,2601.131,3483.831,450.096,284.877,235.430,29.488,11.899,2.619,5.940,8.405,28.916,12.273,17.748,17.589,9.280,0.572,17.215,11.740,-2.465,28.253,10.728,11.997,27.069,20.126,21.868,17.525,-1.270,1.184,8.127,6.385,14.173,16.953,-115.131,-129.521,-129.732
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,3,0.587504,248.418,439.125,2596.552,3458.797,314.890,249.566,246.805,31.392,18.553,2.754,5.073,7.956,31.935,14.417,17.893,12.840,15.799,-0.543,16.975,13.499,-2.883,29.377,15.457,12.800,27.839,22.098,23.190,13.921,2.657,1.538,7.279,6.187,12.829,15.062,-89.835,-101.858,-102.168
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,4,0.588504,248.870,437.780,2591.972,3433.763,179.683,214.256,258.181,33.180,24.342,4.109,6.327,8.242,34.253,16.654,19.125,8.837,20.233,-1.074,16.526,14.054,-1.915,30.296,18.083,14.678,25.911,23.727,25.311,12.213,3.405,4.385,6.568,4.985,11.252,12.347,-64.950,-73.787,-74.197
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,5,0.589504,249.322,440.376,2588.856,3419.133,102.864,189.318,258.821,34.712,29.055,6.260,8.344,8.439,36.021,18.860,20.120,5.656,22.796,-1.310,15.852,14.592,-0.095,31.470,20.078,16.883,22.989,24.981,26.324,11.393,3.195,8.481,6.489,5.147,9.872,9.382,-41.689,-47.139,-47.641
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,6,0.590504,249.774,447.422,2587.392,3416.249,91.964,176.092,247.340,35.967,32.895,7.960,7.245,7.597,37.925,21.042,20.880,3.072,24.935,-1.958,14.925,15.087,-0.352,32.784,22.767,18.289,23.794,26.274,26.418,10.017,4.478,8.990,6.511,6.366,13.348,6.744,-21.268,-23.746,-24.325
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,7,0.591504,250.226,454.467,2585.929,3413.365,81.064,162.866,235.860,37.071,36.152,10.033,8.476,6.017,39.549,22.905,21.426,0.919,26.119,-2.479,14.166,15.644,2.459,33.951,24.751,20.066,24.197,27.198,26.282,9.200,4.684,9.754,6.753,7.669,13.017,5.007,-4.898,-5.439,-6.072
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,8,0.592504,250.574,461.513,2584.465,3410.481,70.164,149.640,224.379,38.063,38.953,11.553,9.359,4.697,41.218,24.342,21.769,-0.890,27.400,-3.155,13.722,16.294,4.662,35.013,26.096,21.284,24.483,27.639,25.921,8.917,4.812,10.529,7.373,9.091,13.352,4.621,6.337,6.208,5.554
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,9,0.593504,250.726,468.558,2583.002,3407.596,59.263,136.414,212.898,38.873,41.375,12.941,12.683,3.564,42.578,25.405,21.942,-2.502,28.434,-3.705,13.468,16.931,9.119,35.899,26.781,22.355,24.248,27.640,25.370,9.118,4.426,11.651,8.259,10.529,8.581,4.456,13.385,13.259,12.609
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,10,0.594504,250.877,475.604,2581.538,3404.712,48.363,123.188,201.417,39.474,43.454,13.914,12.695,2.421,44.282,26.416,22.226,-3.980,29.539,-4.808,13.058,17.248,10.274,36.578,26.787,23.012,24.056,27.506,24.904,9.791,3.775,12.521,9.072,11.674,11.155,4.136,17.202,17.085,16.454
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,11,0.595504,251.028,482.097,2578.846,3404.206,39.218,113.664,192.972,39.946,45.252,14.931,13.422,1.358,45.676,27.196,22.699,-5.306,30.321,-5.729,12.751,17.247,12.065,37.122,26.319,23.737,23.508,27.345,24.807,10.803,2.583,13.614,9.778,12.315,11.555,3.708,18.399,18.295,17.698
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,12,0.596504,251.180,486.628,2571.790,3412.145,36.305,117.289,195.307,40.326,46.806,15.711,9.907,1.804,46.806,27.681,22.956,-6.480,31.095,-6.480,12.644,17.369,8.103,37.553,26.428,24.309,23.880,27.919,25.212,11.126,2.119,13.673,9.634,12.342,15.874,3.216,17.588,17.498,16.945
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,13,0.597504,251.331,491.159,2564.735,3420.084,33.392,120.914,197.642,40.567,48.137,16.319,15.796,2.122,48.137,27.878,22.996,-7.571,31.818,-7.571,12.689,17.570,13.674,37.844,26.167,24.710,24.398,28.198,25.396,11.677,1.457,13.447,9.647,12.448,14.184,2.706,15.379,15.305,14.802
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,14,0.598504,251.482,495.691,2557.680,3428.023,30.479,124.539,199.978,40.669,49.251,16.962,16.166,2.041,49.251,27.795,22.817,-8.582,32.289,-8.582,12.874,17.852,14.125,37.996,25.574,25.147,24.631,28.191,25.358,12.422,0.427,13.365,9.805,12.638,14.535,2.222,12.383,12.326,11.876
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,15,0.599504,251.633,500.222,2550.624,3435.962,27.566,128.164,202.313,40.708,50.169,17.749,16.433,2.971,50.169,27.463,22.407,-9.461,32.420,-9.461,13.245,18.301,13.462,38.083,24.819,25.729,24.590,27.927,25.089,13.264,-0.910,13.493,10.156,12.994,15.021,1.811,9.213,9.170,8.771
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,16,0.600504,251.785,504.753,2543.569,3443.901,24.653,131.790,204.649,40.704,50.908,18.825,14.940,4.354,50.908,27.192,21.779,-10.204,32.083,-10.204,13.512,18.925,10.586,38.125,24.304,26.601,24.273,27.720,24.597,13.821,-2.296,13.853,10.406,13.528,15.356,1.517,6.478,6.447,6.095
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,17,0.601504,251.936,509.284,2536.513,3451.840,21.740,135.415,206.984,40.627,51.476,19.788,15.409,4.786,51.476,26.674,20.932,-10.849,31.687,-10.849,13.953,19.695,10.623,38.093,24.587,27.359,23.662,27.258,23.884,13.507,-2.773,14.431,10.835,14.209,15.133,1.385,4.789,4.767,4.454
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,18,0.602504,252.087,513.061,2526.302,3450.718,24.046,148.765,225.188,40.509,51.870,20.771,14.797,3.910,51.870,25.890,20.361,-11.361,31.099,-11.361,14.620,20.148,10.887,38.014,26.690,28.169,24.858,27.130,24.056,11.323,-1.478,13.156,10.884,13.958,15.785,1.455,4.635,4.616,4.332
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,19,0.603504,252.238,516.815,2515.991,3449.312,26.514,162.419,243.888,40.422,52.105,21.791,13.755,3.358,52.105,24.800,19.607,-11.682,30.313,-11.682,15.623,20.816,10.397,37.964,28.494,29.017,25.868,26.642,24.004,9.469,-0.522,12.095,11.322,13.960,15.698,1.675,4.931,4.914,4.652
