Filename,var1,var2,var3,Label,seg_Start,seg_End,t,t_ms,f0,F1,F2,F3,B1,B2,B3,H1u,H2u,H4u,H2Ku,H5Ku,A1u,A2u,A3u,H1H2u,H2H4u,H1A1u,H1A2u,H1A3u,H2KH5Ku,H1c,H2c,H4c,A1c,A2c,A3c,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,CPP,HNR05,HNR15,HNR25,HNR35
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,1,0.585504,247.514,441.815,2605.711,3508.865,49.424,130.802,233.125,27.528,6.994,3.107,3.378,9.538,25.134,10.032,17.827,20.533,3.887,2.394,17.496,9.701,-6.160,24.212,-4.413,13.602,5.787,13.015,23.895,28.624,-18.014,18.425,11.197,0.317,14.616,17.442,-139.624,-154.945,-155.067
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,2,0.586504,247.966,440.470,2601.131,3483.831,49.533,130.491,230.177,29.488,11.899,2.619,5.940,8.405,28.916,12.273,17.748,17.589,9.280,0.572,17.215,11.740,-2.465,26.134,0.840,13.208,9.615,15.279,23.552,25.294,-12.368,16.519,10.855,2.582,14.173,16.953,-115.131,-129.521,-129.732
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,3,0.587504,248.418,439.125,2596.552,3458.797,49.645,130.180,227.239,31.392,18.553,2.754,5.073,7.956,31.935,14.417,17.893,12.840,15.799,-0.543,16.975,13.499,-2.883,27.999,7.832,13.436,12.681,17.446,23.426,20.167,-5.604,15.318,10.553,4.573,12.829,15.062,-89.835,-101.858,-102.168
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,4,0.588504,248.870,437.780,2591.972,3433.763,49.760,129.870,224.311,33.180,24.342,4.109,6.327,8.242,34.253,16.654,19.125,8.837,20.233,-1.074,16.526,14.054,-1.915,29.747,13.953,14.884,15.046,19.707,24.381,15.794,-0.932,14.701,10.040,5.366,11.252,12.347,-64.950,-73.787,-74.197
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,5,0.589504,249.322,440.376,2588.856,3419.133,49.681,129.698,222.693,34.712,29.055,6.260,8.344,8.439,36.021,18.860,20.120,5.656,22.796,-1.310,15.852,14.592,-0.095,31.311,18.380,16.937,16.746,21.788,25.085,12.930,1.443,14.565,9.522,6.226,9.872,9.382,-41.689,-47.139,-47.641
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,6,0.590504,249.774,447.422,2587.392,3416.249,49.433,129.684,222.546,35.967,32.895,7.960,7.245,7.597,37.925,21.042,20.880,3.072,24.935,-1.958,14.925,15.087,-0.352,32.674,21.205,18.327,18.459,23.683,25.548,11.469,2.878,14.215,8.991,7.126,13.348,6.744,-21.268,-23.746,-24.325
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,7,0.591504,250.226,454.467,2585.929,3413.365,49.254,129.670,222.399,37.071,36.152,10.033,8.476,6.017,39.549,22.905,21.426,0.919,26.119,-2.479,14.166,15.644,2.459,33.880,23.388,20.091,19.906,25.263,25.802,10.492,3.297,13.973,8.617,8.078,13.017,5.007,-4.898,-5.439,-6.072
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,8,0.592504,250.574,461.513,2584.465,3410.481,49.133,129.627,222.202,38.063,38.953,11.553,9.359,4.697,41.218,24.342,21.769,-0.890,27.400,-3.155,13.722,16.294,4.662,34.973,25.017,21.298,21.410,26.418,25.854,9.955,3.719,13.562,8.554,9.118,13.352,4.621,6.337,6.208,5.554
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,9,0.593504,250.726,468.558,2583.002,3407.596,49.058,129.529,221.912,38.873,41.375,12.941,12.683,3.564,42.578,25.405,21.942,-2.502,28.434,-3.705,13.468,16.931,9.119,35.883,26.131,22.361,22.616,27.201,25.738,9.752,3.769,13.267,8.682,10.145,8.581,4.456,13.385,13.259,12.609
25e-cab-w_Audio,25e,cab,w_Audio,a,0.585504,0.868719,10,0.594504,250.877,475.604,2581.538,3404.712,49.048,129.432,221.622,39.474,43.454,13.914,12.695,2.421,44.282,26.416,22.226,-3.980,29.539,-4.808,13.058,17.248,10.274,36.579,26.843,23.012,24.178,27.934,25.734,9.736,3.831,12.401,8.644,10.844,11.155,4.136,17.202,17.085,16.454
