Filename	Label	seg_Start	seg_End	t_ms	H1c	H2c	H4c	A1c	A2c	A3c	H2Kc	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H42Kc	H2KH5Kc	CPP	Energy	HNR05	HNR15	HNR25	HNR35	SHR	H1u	H2u	H4u	A1u	A2u	A3u	H2Ku	H5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	H42Ku	H2KH5Ku	strF0	sF0	pF0	shrF0	oF0	sF1	sF2	sF3	sF4	pF1	pF2	pF3	pF4	oF1	oF2	oF3	oF4	sB1	sB2	sB3	sB4	pB1	pB2	pB3	pB4	oB1	oB2	oB3	oB4	epoch	soe	
25e-cab-w_Audio.mat	"a"	585.504	868.719	586.000	-9.086	-16.920	-8.099	-27.039	-15.800	-7.192	-9.741	7.834	-8.821	17.954	6.714	-1.893	1.642	9.183	13.193	0.609	14.460	21.251	26.138	27.551	0.000	-6.624	-7.775	-14.604	-7.063	-17.147	-11.479	-21.826	-18.924	1.151	6.829	0.439	10.524	4.856	7.222	0	224.220	0.000	238.073	328.406	0	410.143	2569.579	3437.730	4559.817	419.380	2608.460	3528.088	4905.398	0	0	0	0	79.682	167.550	269.953	1140.931	233.228	349.344	216.720	486.141	0	0	0	0	0.000	0	
25e-cab-w_Audio.mat	"a"	585.504	868.719	587.000	-8.278	-16.404	-7.406	-26.158	-15.235	-6.399	-9.139	8.127	-8.998	17.880	6.957	-1.879	1.733	9.194	13.301	0.666	13.631	20.945	25.966	27.232	0.000	-5.748	-6.962	-14.256	-6.309	-16.791	-10.888	-21.421	-18.333	1.214	7.293	0.561	11.043	5.140	7.165	0	223.425	0.000	238.335	324.301	0	418.732	2568.195	3434.047	4519.993	420.360	2605.643	3501.795	4891.831	0	0	0	0	75.150	162.690	262.377	935.014	173.132	297.790	227.602	558.187	0	0	0	0	1.000	0.011	
25e-cab-w_Audio.mat	"a"	585.504	868.719	588.000	-7.526	-16.112	-6.570	-25.255	-14.402	-5.542	-8.572	8.586	-9.542	17.729	6.876	-1.985	2.002	9.408	13.315	1.038	12.861	20.704	25.813	26.941	0.000	-4.941	-6.205	-13.724	-5.510	-16.139	-10.197	-21.046	-17.980	1.264	7.519	0.568	11.198	5.255	7.322	0	222.936	245.570	238.597	354.151	0	433.601	2568.945	3429.401	4496.534	424.430	2601.181	3473.486	4876.415	0	0	0	0	74.671	156.567	245.414	858.801	140.581	253.329	240.629	678.108	0	0	0	0	0.000	0	
25e-cab-w_Audio.mat	"a"	585.504	868.719	589.000	-6.801	-15.659	-6.084	-24.279	-13.541	-4.789	-8.018	8.858	-9.575	17.477	6.739	-2.012	1.934	9.925	13.253	1.303	12.259	20.490	25.629	26.584	0.000	-4.169	-5.210	-13.508	-4.616	-15.436	-9.579	-20.616	-17.943	1.041	8.298	0.447	11.266	5.409	7.108	0	222.889	247.778	238.858	354.151	0	447.037	2570.542	3425.869	4475.219	430.402	2595.907	3445.456	4854.297	0	0	0	0	69.425	152.489	228.599	807.586	120.255	219.606	252.557	854.800	0	0	0	0	0.000	0	
25e-cab-w_Audio.mat	"a"	585.504	868.719	590.000	-6.126	-15.273	-5.413	-23.266	-12.612	-4.091	-7.449	9.146	-9.859	17.140	6.486	-2.036	2.036	10.294	13.163	1.477	11.454	20.094	25.274	26.045	0.000	-3.451	-4.295	-13.088	-3.677	-14.651	-8.996	-20.196	-17.743	0.843	8.793	0.225	11.200	5.544	7.108	0	223.561	248.798	239.120	358.634	0	455.311	2568.339	3422.274	4454.864	437.497	2590.834	3421.444	4815.888	0	0	0	0	62.740	152.771	214.026	793.228	105.277	194.306	259.786	1072.983	0	0	0	0	1.000	0.045	
25e-cab-w_Audio.mat	"a"	585.504	868.719	591.000	-5.293	-14.733	-4.481	-22.210	-11.509	-3.359	-6.658	9.440	-10.252	16.917	6.216	-1.934	2.177	10.691	13.308	1.578	10.731	19.795	25.017	25.597	0.263	-2.579	-3.255	-12.392	-2.686	-13.682	-8.365	-19.493	-17.350	0.676	9.137	0.107	11.103	5.786	7.100	0	224.438	249.357	239.382	289.589	0	462.296	2570.788	3420.916	4441.684	445.085	2586.923	3404.766	4753.150	0	0	0	0	56.114	145.885	199.009	750.548	92.303	174.659	259.948	1245.445	0	0	0	0	0.000	0	
25e-cab-w_Audio.mat	"a"	585.504	868.719	592.000	-4.313	-14.141	-3.717	-21.053	-10.514	-2.804	-5.906	9.828	-10.425	16.740	6.201	-1.509	2.190	11.357	13.344	2.089	10.052	19.492	24.762	25.153	0.000	-1.562	-2.205	-11.848	-1.586	-12.808	-7.897	-18.858	-17.264	0.643	9.642	0.024	11.245	6.335	7.011	0	225.530	250.106	239.644	406.706	0	470.322	2570.587	3421.891	4435.126	452.720	2584.568	3396.125	4685.795	0	0	0	0	51.465	143.372	192.522	741.252	79.990	158.610	252.333	1263.360	0	0	0	0	0.000	0	
25e-cab-w_Audio.mat	"a"	585.504	868.719	593.000	-3.320	-13.461	-2.955	-19.757	-9.561	-2.358	-5.473	10.141	-10.506	16.437	6.242	-0.962	2.518	11.882	13.651	2.451	9.624	19.429	24.694	24.838	0.000	-0.536	-1.100	-11.293	-0.343	-11.966	-7.527	-18.479	-17.355	0.564	10.194	-0.193	11.430	6.991	7.186	0	226.571	250.981	239.906	245.904	0	476.240	2571.208	3421.129	4421.388	460.182	2583.407	3393.633	4634.239	0	0	0	0	46.167	140.495	183.449	722.172	68.242	144.824	238.599	1170.834	0	0	0	0	0.000	0	
25e-cab-w_Audio.mat	"a"	585.504	868.719	594.000	-2.143	-12.708	-2.200	-18.493	-8.549	-2.002	-4.954	10.565	-10.508	16.350	6.406	-0.141	2.753	12.479	13.942	2.680	9.295	19.451	24.708	24.622	0.830	0.674	0.064	-10.736	0.874	-11.054	-7.238	-18.051	-17.433	0.610	10.800	-0.200	11.727	7.911	7.314	0	228.136	251.721	240.168	245.904	0	480.794	2568.855	3419.936	4413.954	467.389	1807.994	2582.701	3394.761	0	0	0	0	41.978	137.441	180.542	732.597	57.486	7471.213	132.666	222.297	0	0	0	0	1.000	0.139	
25e-cab-w_Audio.mat	"a"	585.504	868.719	595.000	-1.218	-11.971	-1.336	-17.078	-7.648	-1.679	-4.577	10.753	-10.635	15.860	6.430	0.461	3.241	12.958	14.019	2.800	8.919	19.453	24.723	24.455	0.595	1.632	1.233	-10.071	2.243	-10.247	-6.978	-17.698	-17.535	0.400	11.303	-0.611	11.879	8.610	7.627	0	231.497	252.143	240.430	242.830	0	484.678	2568.183	3420.599	4410.023	474.266	1858.163	2581.801	3397.847	0	0	0	0	37.910	135.657	175.875	731.174	48.132	5857.174	122.086	206.781	0	0	0	0	0.000	0	
