Filename	Label	seg_Start	seg_End	t_ms	H1c	H2c	H4c	A1c	A2c	A3c	H2Kc	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H42Kc	H2KH5Kc	CPP	Energy	HNR05	HNR15	HNR25	HNR35	SHR	H1u	H2u	H4u	A1u	A2u	A3u	H2Ku	H5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	H42Ku	H2KH5Ku	strF0	sF0	pF0	shrF0	oF0	sF1	sF2	sF3	sF4	pF1	pF2	pF3	pF4	oF1	oF2	oF3	oF4	sB1	sB2	sB3	sB4	pB1	pB2	pB3	pB4	oB1	oB2	oB3	oB4	epoch	soe	
12-cab-w_Audio.mat	"a"	648.166	902.471	648.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.867	0.616	20.095	26.988	29.698	29.347	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.566	0.000	156.684	72.588	0	407.729	2004.674	2915.319	3443.461	2057.853	3099.320	3742.185	0	0	0	0	0	84.711	101.533	139.062	227.461	743.022	381.324	1073.582	0	0	0	0	0	0.000	0	
12-cab-w_Audio.mat	"a"	648.166	902.471	649.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.059	0.619	19.231	26.667	29.351	28.848	0.889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.071	0.000	156.897	72.588	0	419.230	1997.299	2915.454	3441.376	2035.989	3081.650	3653.960	0	0	0	0	0	82.157	95.078	134.271	222.632	721.243	401.657	909.104	0	0	0	0	0	0.000	0	
12-cab-w_Audio.mat	"a"	648.166	902.471	650.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.290	0.689	18.394	26.314	28.973	28.372	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.531	0.000	157.111	158.330	0	424.684	1997.006	2915.896	3443.568	2028.332	3074.482	3633.526	0	0	0	0	0	80.079	92.398	133.697	220.152	715.721	407.470	828.532	0	0	0	0	0	0.000	0	
12-cab-w_Audio.mat	"a"	648.166	902.471	651.000	-5.381	-12.094	-12.760	-25.350	-17.759	-3.631	-22.017	6.712	0.666	19.969	12.378	-1.750	9.258	4.510	14.542	0.855	17.391	25.811	28.475	27.843	0.000	-4.025	-4.585	-12.472	-4.530	-14.078	-8.630	-19.287	-26.527	0.561	7.886	0.505	10.053	4.605	6.815	0	158.936	0.000	157.324	160.334	0	431.749	1995.083	2914.250	3442.164	2041.877	3081.609	3671.160	0	0	0	0	0	79.564	89.285	133.395	218.009	717.728	390.745	788.560	0	0	0	0	0	1.000	0.022	
12-cab-w_Audio.mat	"a"	648.166	902.471	652.000	-4.958	-11.266	-11.211	-24.018	-16.304	-2.420	-20.537	6.308	-0.055	19.060	11.346	-2.538	9.327	5.782	14.943	0.954	16.397	25.327	27.978	27.262	0.000	-3.581	-3.630	-11.315	-3.283	-12.738	-7.486	-17.725	-26.319	0.049	7.685	-0.298	9.157	3.905	6.410	0	158.250	0.000	157.537	160.334	0	436.845	1993.889	2912.034	3441.382	2073.696	3092.787	3731.043	0	0	0	0	0	77.102	86.020	132.932	215.515	705.985	352.792	697.557	0	0	0	0	0	0.000	0	
12-cab-w_Audio.mat	"a"	648.166	902.471	653.000	-4.439	-10.218	-9.720	-22.855	-14.916	-1.278	-19.000	5.779	-0.498	18.416	10.478	-3.161	9.280	7.278	15.314	1.001	15.642	25.005	27.610	26.828	0.000	-3.045	-2.479	-10.165	-2.187	-11.438	-6.395	-16.038	-26.278	-0.566	7.686	-0.858	8.393	3.350	5.874	0	157.380	0.000	157.750	160.334	0	446.659	1987.941	2911.328	3447.111	2107.823	3099.518	3764.305	0	0	0	0	0	80.346	96.528	140.980	217.884	665.655	311.584	583.683	0	0	0	0	0	0.000	0	
12-cab-w_Audio.mat	"a"	648.166	902.471	654.000	-3.865	-9.202	-8.421	-21.460	-13.608	-0.230	-17.424	5.337	-0.781	17.596	9.744	-3.635	9.003	8.956	15.763	1.064	14.862	24.660	27.224	26.348	0.000	-2.456	-1.370	-9.173	-0.855	-10.206	-5.391	-14.272	-26.380	-1.086	7.803	-1.601	7.750	2.935	5.100	0	156.620	0.000	157.963	160.334	0	447.504	1988.362	2910.105	3445.166	2130.308	3102.519	3776.547	0	0	0	0	0	75.174	96.349	143.858	221.156	611.893	280.023	500.654	0	0	0	0	0	0.000	0	
12-cab-w_Audio.mat	"a"	648.166	902.471	655.000	-3.225	-8.348	-7.270	-20.232	-12.297	0.812	-15.864	5.124	-1.078	17.007	9.072	-4.036	8.593	10.400	16.150	1.090	14.189	24.400	26.875	25.940	0.000	-1.804	-0.442	-8.278	0.323	-8.950	-4.372	-12.489	-26.264	-1.362	7.836	-2.127	7.146	2.568	4.211	0	155.807	0.000	158.390	160.334	0	453.316	1986.730	2902.223	3443.371	2141.179	3104.268	3781.285	0	0	0	0	0	72.661	94.722	146.884	217.638	563.223	259.773	450.557	0	0	0	0	0	0.000	0	
12-cab-w_Audio.mat	"a"	648.166	902.471	656.000	-2.608	-7.158	-6.282	-18.956	-10.861	1.846	-14.254	4.550	-0.877	16.348	8.253	-4.454	7.972	11.275	16.498	1.108	13.421	24.041	26.413	25.429	0.000	-1.177	0.808	-7.490	1.561	-7.542	-3.341	-10.693	-25.528	-1.985	8.298	-2.737	6.365	2.165	3.203	0	155.802	0.000	158.431	160.334	0	458.640	1981.972	2897.314	3441.258	2145.032	3105.986	3783.846	0	0	0	0	0	70.996	96.344	150.800	219.383	524.748	248.481	422.850	0	0	0	0	0	0.000	0	
12-cab-w_Audio.mat	"a"	648.166	902.471	657.000	-2.070	-6.057	-5.254	-17.683	-9.507	2.917	-12.581	3.987	-0.803	15.613	7.438	-4.987	7.327	12.391	16.956	1.234	12.743	23.683	25.911	24.858	0.000	-0.636	1.928	-6.514	2.814	-6.157	-2.212	-8.866	-24.973	-2.564	8.442	-3.449	5.521	1.576	2.352	0	155.446	0.000	158.367	162.364	0	463.888	1978.131	2891.678	3440.381	109.351	2145.207	3107.902	3785.421	0	0	0	0	70.746	99.548	156.357	222.091	1337.482	495.338	243.539	408.480	0	0	0	0	0.000	0	
12-cab-w_Audio.mat	"a"	648.166	902.471	658.000	-1.470	-4.976	-3.972	-16.410	-8.091	3.915	-10.849	3.506	-1.004	14.940	6.620	-5.386	6.878	14.249	17.514	1.465	11.805	22.875	24.953	23.762	0.000	-0.038	2.995	-5.186	4.088	-4.665	-1.111	-6.924	-25.098	-3.034	8.181	-4.127	4.626	1.073	1.738	0	154.989	0.000	158.389	162.364	0	469.814	1974.702	2886.083	3438.979	277.147	2143.587	3109.773	3785.987	0	0	0	0	69.786	101.875	161.450	224.332	1212.292	472.904	242.902	401.274	0	0	0	0	1.000	0.067	
12-cab-w_Audio.mat	"a"	648.166	902.471	659.000	-0.957	-3.741	-2.795	-15.155	-6.850	4.799	-9.061	2.784	-0.946	14.198	5.893	-5.756	6.266	15.707	18.138	1.626	11.649	22.822	24.768	23.444	0.000	0.454	4.091	-3.716	5.428	-3.222	0.003	-4.844	-24.769	-3.636	7.807	-4.973	3.677	0.451	1.127	0	154.516	0.000	158.384	162.364	0	476.006	1970.503	2879.353	3437.016	346.188	2141.219	3111.191	3785.572	0	0	0	0	69.755	103.600	166.062	226.036	1122.474	455.682	245.079	397.270	0	0	0	0	0.000	0	
12-cab-w_Audio.mat	"a"	648.166	902.471	660.000	-0.535	-2.371	-1.798	-13.863	-5.745	5.680	-7.484	1.836	-0.573	13.328	5.210	-6.216	5.686	17.056	18.814	1.738	11.460	22.662	24.425	23.033	0.000	0.852	5.292	-2.350	6.826	-1.861	1.096	-2.872	-24.540	-4.440	7.642	-5.974	2.713	-0.243	0.521	0	154.017	0.000	158.385	162.364	0	486.415	1958.593	2871.296	3440.562	389.803	2138.697	3111.760	3784.591	0	0	0	0	72.631	116.677	180.726	236.053	1052.710	442.399	249.040	394.097	0	0	0	0	0.000	0	
12-cab-w_Audio.mat	"a"	648.166	902.471	661.000	0.091	-0.801	-0.956	-12.714	-4.757	6.380	-6.069	0.892	0.155	12.805	4.848	-6.289	5.112	18.391	19.551	1.796	11.805	22.837	24.426	22.922	0.000	1.423	6.394	-0.895	8.225	-0.482	2.190	-1.074	-24.460	-4.971	7.289	-6.803	1.905	-0.767	0.178	0	153.564	0.000	158.477	158.330	0	490.348	1954.056	2863.400	3435.198	423.403	2136.325	3111.188	3783.718	0	0	0	0	71.520	114.840	184.501	241.342	993.671	432.312	254.145	390.571	0	0	0	0	0.000	0	
