Filename,var1,var2,Label,seg_Start,seg_End,t,t_ms,f0,F1,F2,F3,B1,B2,B3,H1u,H2u,H4u,H2Ku,H5Ku,A1u,A2u,A3u,H1H2u,H2H4u,H1A1u,H1A2u,H1A3u,H2KH5Ku,H1c,H2c,H4c,A1c,A2c,A3c,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,CPP,HNR05,HNR15,HNR25,HNR35
baca-read,baca,read,v,0.099119,0.200695,1,0.099119,126.646,388.663,1440.441,2354.356,173.898,219.999,871.648,40.494,42.005,31.864,16.635,4.611,36.569,24.947,7.884,-1.510,10.140,3.926,15.547,32.611,12.024,39.601,38.075,29.073,28.535,29.829,32.208,1.526,9.002,11.066,9.772,7.393,10.035,8.187,18.034,17.882,17.849
baca-read,baca,read,v,0.099119,0.200695,2,0.100119,126.571,394.433,1435.608,2324.938,140.407,217.992,894.779,41.086,42.594,33.972,16.523,5.903,37.389,25.272,7.288,-1.508,8.622,3.697,15.813,33.798,10.620,40.167,38.437,30.207,27.477,29.907,31.384,1.730,8.230,12.691,10.260,8.784,9.735,8.825,14.819,14.674,14.645
baca-read,baca,read,v,0.099119,0.200695,3,0.101119,126.497,399.236,1418.857,2332.760,128.134,211.944,831.052,41.614,43.052,35.851,13.392,6.861,38.268,25.612,7.653,-1.439,7.201,3.346,16.002,33.961,6.531,40.700,38.886,31.425,27.465,29.714,31.410,1.814,7.461,13.235,10.986,9.289,11.753,9.439,11.681,11.543,11.519
baca-read,baca,read,v,0.099119,0.200695,4,0.102119,126.422,403.931,1400.770,2344.760,118.242,205.442,757.581,42.072,43.426,37.571,13.056,5.704,39.472,26.011,8.685,-1.354,5.855,2.600,16.061,33.388,7.352,41.166,39.279,32.497,27.863,29.538,32.019,1.887,6.782,13.303,11.628,9.147,11.635,9.973,9.240,9.109,9.088
baca-read,baca,read,v,0.099119,0.200695,5,0.103119,126.347,408.626,1382.683,2356.760,108.350,198.940,684.110,42.459,43.745,39.132,12.749,5.343,40.404,26.479,9.603,-1.286,4.613,2.055,15.980,32.856,7.406,41.561,39.627,33.380,27.924,29.416,32.420,1.934,6.247,13.637,12.145,9.141,10.394,10.373,8.116,7.989,7.971
baca-read,baca,read,v,0.099119,0.200695,6,0.104119,126.273,413.321,1364.595,2368.759,98.457,192.438,610.640,42.820,44.039,40.459,10.480,1.849,41.102,27.003,10.392,-1.218,3.580,1.718,15.817,32.429,8.631,41.932,39.958,33.996,27.674,29.337,32.580,1.974,5.962,14.258,12.595,9.351,14.263,10.636,8.262,8.138,8.122
baca-read,baca,read,v,0.099119,0.200695,7,0.105119,126.198,418.016,1346.508,2380.759,88.565,185.936,537.169,43.230,44.346,41.586,17.037,3.335,41.685,27.505,10.897,-1.115,2.760,1.546,15.725,32.334,13.702,42.352,40.308,34.376,27.216,29.219,32.321,2.043,5.932,15.136,13.133,10.031,13.952,10.857,8.471,8.352,8.336
baca-read,baca,read,v,0.099119,0.200695,8,0.106119,126.123,422.711,1328.421,2392.759,78.673,179.435,463.698,43.615,44.689,42.573,7.816,-1.678,42.573,27.897,10.940,-1.075,2.117,1.042,15.718,32.674,9.494,42.747,40.702,34.576,26.949,28.976,31.426,2.045,6.126,15.797,13.771,11.320,13.631,11.047,8.692,8.577,8.562
baca-read,baca,read,v,0.099119,0.200695,9,0.107119,126.049,427.991,1328.567,2397.705,74.688,176.652,426.909,43.926,45.047,43.450,7.617,-1.730,43.450,28.104,10.841,-1.121,1.598,0.477,15.822,33.085,9.347,43.077,41.156,34.711,27.250,28.817,30.466,1.921,6.445,15.827,14.260,12.611,14.435,11.214,8.924,8.813,8.799
baca-read,baca,read,v,0.099119,0.200695,10,0.108119,125.974,433.588,1338.569,2398.838,73.898,175.879,409.949,44.180,45.355,44.252,11.591,-0.299,44.252,28.083,12.269,-1.175,1.103,-0.072,16.096,31.910,11.890,43.352,41.579,34.787,27.837,28.584,31.143,1.773,6.792,15.515,14.768,12.209,15.245,11.366,9.167,9.060,9.046
