Filename,var1,var2,Label,seg_Start,seg_End,t,t_ms,f0,F1,F2,F3,B1,B2,B3,H1u,H2u,H4u,H2Ku,H5Ku,A1u,A2u,A3u,H1H2u,H2H4u,H1A1u,H1A2u,H1A3u,H2KH5Ku,H1c,H2c,H4c,A1c,A2c,A3c,H1H2c,H2H4c,H1A1c,H1A2c,H1A3c,CPP,HNR05,HNR15,HNR25,HNR35
baca-read,baca,read,v,0.099119,0.200695,1,0.099119,126.646,388.663,1440.441,2354.356,39.955,45.355,80.442,40.494,42.005,31.864,16.635,4.611,36.569,24.947,7.884,-1.510,10.140,3.926,15.547,32.611,12.024,39.457,36.990,27.651,16.098,16.519,12.137,2.467,9.339,23.359,22.938,27.320,10.035,8.187,18.034,17.882,17.849
baca-read,baca,read,v,0.099119,0.200695,2,0.100119,126.571,394.433,1435.608,2324.938,39.435,45.265,78.665,41.086,42.594,33.972,16.523,5.903,37.389,25.272,7.288,-1.508,8.622,3.697,15.813,33.798,10.620,40.078,37.760,29.100,16.652,16.521,10.761,2.318,8.660,23.426,23.558,29.318,9.735,8.825,14.819,14.674,14.645
baca-read,baca,read,v,0.099119,0.200695,3,0.101119,126.497,399.236,1418.857,2332.760,39.030,44.986,79.112,41.614,43.052,35.851,13.392,6.861,38.268,25.612,7.653,-1.439,7.201,3.346,16.002,33.961,6.531,40.630,38.358,30.390,17.302,16.471,11.397,2.272,7.967,23.328,24.158,29.232,11.753,9.439,11.681,11.543,11.519
baca-read,baca,read,v,0.099119,0.200695,4,0.102119,126.422,403.931,1400.770,2344.760,38.658,44.698,79.812,42.072,43.426,37.571,13.056,5.704,39.472,26.011,8.685,-1.354,5.855,2.600,16.061,33.388,7.352,41.109,38.859,31.514,18.284,16.475,12.816,2.250,7.345,22.826,24.634,28.294,11.635,9.973,9.240,9.109,9.088
baca-read,baca,read,v,0.099119,0.200695,5,0.103119,126.347,408.626,1382.683,2356.760,38.312,44.423,80.518,42.459,43.745,39.132,12.749,5.343,40.404,26.479,9.603,-1.286,4.613,2.055,15.980,32.856,7.406,41.516,39.299,32.460,18.997,16.548,14.115,2.217,6.839,22.519,24.968,27.401,10.394,10.373,8.116,7.989,7.971
baca-read,baca,read,v,0.099119,0.200695,6,0.104119,126.273,413.321,1364.595,2368.759,37.990,44.161,81.230,42.820,44.039,40.459,10.480,1.849,41.102,27.003,10.392,-1.218,3.580,1.718,15.817,32.429,8.631,41.897,39.708,33.152,19.480,16.678,15.282,2.189,6.557,22.417,25.219,26.615,14.263,10.636,8.262,8.138,8.122
baca-read,baca,read,v,0.099119,0.200695,7,0.105119,126.198,418.016,1346.508,2380.759,37.693,43.911,81.949,43.230,44.346,41.586,17.037,3.335,41.685,27.505,10.897,-1.115,2.760,1.546,15.725,32.334,13.702,42.326,40.124,33.621,19.852,16.786,16.163,2.202,6.503,22.474,25.539,26.163,13.952,10.857,8.471,8.352,8.336
baca-read,baca,read,v,0.099119,0.200695,8,0.106119,126.123,422.711,1328.421,2392.759,37.420,43.673,82.673,43.615,44.689,42.573,7.816,-1.678,42.573,27.897,10.940,-1.075,2.117,1.042,15.718,32.674,9.494,42.728,40.571,33.925,20.532,16.784,16.579,2.157,6.646,22.196,25.944,26.149,13.631,11.047,8.692,8.577,8.562
baca-read,baca,read,v,0.099119,0.200695,9,0.107119,126.049,427.991,1328.567,2397.705,37.143,43.665,82.963,43.926,45.047,43.450,7.617,-1.730,43.450,28.104,10.841,-1.121,1.598,0.477,15.822,33.085,9.347,43.061,41.049,34.051,21.212,16.752,16.348,2.013,6.997,21.849,26.310,26.713,14.435,11.214,8.924,8.813,8.799
baca-read,baca,read,v,0.099119,0.200695,10,0.108119,125.974,433.588,1338.569,2398.838,36.884,43.781,83.016,44.180,45.355,44.252,11.591,-0.299,44.252,28.083,12.269,-1.175,1.103,-0.072,16.096,31.910,11.890,43.337,41.481,34.040,21.829,16.576,17.375,1.856,7.441,21.508,26.761,25.962,15.245,11.366,9.167,9.060,9.046
baca-read,baca,read,v,0.099119,0.200695,11,0.109119,125.899,439.185,1348.571,2399.971,36.658,43.900,83.068,44.365,45.582,45.003,9.892,0.284,45.003,29.307,13.682,-1.217,0.579,-0.638,15.058,30.682,9.608,43.544,41.827,33.929,22.404,17.649,18.389,1.717,7.898,21.141,25.896,25.155,16.211,11.512,9.421,9.318,9.304
